Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
3,80,,Placer,R,22.212,,DRY CREEK ROAD,5300,55000,47500,5100,53000,46000,"(38.95741129, -121.03312)"
3,80,,Nevada,,22.412,,HIRSCHDALE ROAD OH (BOCA),2800,35000,26500,2700,34500,26000,"(39.38395607, -120.0836613)"
3,80,,Placer,R,23.429,,CLIPPER GAP,5100,53000,46000,4550,44500,37000,"(38.969706, -121.017655)"
3,80,,Placer,R,26.209,,APPLEGATE ROAD,4550,44500,37000,4800,46500,38500,"(39.01847658, -120.9825542)"
3,80,,Nevada,,27.292,,TRUCKEE RIVER (FLORISTON),2700,34500,26000,3000,32000,25500,"(39.39426832, -120.0254396)"
3,80,,Placer,,27.392,,HEATHER GLEN ,4800,46500,38500,4450,46500,38000,"(39.02794177, -120.9769182)"
3,80,,Placer,,28.587,,WEIMAR,4450,46500,38000,4350,46500,37000,"(39.03811625, -120.9732286)"
3,80,,Placer,,29.323,,WEIMAR CROSSROAD ,4200,46500,37000,3900,40000,35000,"(39.04473409, -120.9739441)"
3,80,,Nevada,,29.489,,FARAD,3000,32000,25500,3000,32000,25500,"(39.42229612, -120.0351676)"
3,80,,Nevada,,31.783,,NEVADA/SIERRA COUNTY LINE,3000,32000,25500,,,,"(39.44514158, -120.0103745)"
3,80,,Placer,,31.794,,ILLINOIS TOWN ,3900,40000,35000,4200,39000,31000,"(39.07848001, -120.9597905)"
3,80,,Placer,,33.131,,"COLFAX, JCT. RTE. 174 NORTH",4200,39000,31000,3950,34000,26500,"(39.09577426, -120.9494679)"
3,80,,Placer,,37.782,,MAGRA ROAD ,3950,34000,26500,4050,34000,27000,"(39.14711312, -120.9073522)"
3,80,,Placer,,38.347,,ALPINE,4050,34000,27000,4050,34000,27000,"(39.14986284, -120.8982)"
3,80,,Placer,,41.372,,GOLD RUN,4050,34000,27000,4050,34000,26500,"(39.17513227, -120.85793)"
3,80,,Placer,,42.191,,SAWMILL (TO GOLD RUN),4050,34000,26500,4050,34000,27000,"(39.18460394, -120.8476863)"
3,80,,Placer,,43.167,,MONTE VISTA,4050,34000,27000,4000,34500,26500,"(39.18811715, -120.8321259)"
3,80,,Placer,,44.752,,ALTA ROAD ,4000,34500,26500,4150,34500,25500,"(39.2016235, -120.8121784)"
3,80,,Placer,,46.31,,CRYSTAL SPRINGS ROAD ,4150,34500,25500,4150,34500,25000,"(39.20906033, -120.7864803)"
3,80,,Placer,,46.935,,BAXTER,4150,34500,25000,4150,34500,25000,"(39.21458886, -120.7768818)"
3,80,,Placer,,49,,DRUM FOREBAY ROAD,4150,34500,25000,4150,34500,25000,"(39.237229, -120.752726)"
3,80,,Placer,,53.356,,BLUE CANYON ROAD,4150,34500,25000,4050,33500,25000,"(39.28361936, -120.7039167)"
3,80,,Placer,,54.812,,PUTTS LAKE ,4050,33500,25000,4000,33000,24900,"(39.2925189, -120.6797954)"
3,80,,Placer,R,56.057,,CARPENTER FLAT ,4000,33000,24900,3800,33000,24900,"(39.30394944, -120.6531077)"
3,80,,Placer,R,58.644,,PLACER/NEVADA COUNTY LINE,3800,33000,24900,,,,"(39.3151384, -120.6185487)"
3,80,,Placer,R,58.644,,PLACER/NEVADA COUNTY LINE,,,,3800,33000,24900,"(39.3151384, -120.6185487)"
3,80,,Nevada,R,58.835,,YUBA GAP OC,3800,33000,24900,3800,33000,24900,"(39.31610958, -120.6153566)"
3,80,,Nevada,R,59.54,,JCT. RTE. 20 WEST,3800,33000,24900,3950,34500,27000,"(39.3227235, -120.6035559)"
3,80,,Nevada,R,62.027,R,"CARYLE ROAD, INDIAN SPRINGS , RIGHT ALIGN",1950,17200,13300,1950,17200,13300,"(39.32014438, -120.5651464)"
3,80,,Nevada,R,62.027,L,"CARYLE ROAD, INDIAN SPRINGS, LEFT ALIGN",1950,17200,13700,1950,17200,13700,"(39.32014438, -120.5651464)"
3,80,,Nevada,R,62.747,,NEVADA/PLACER COUNTY LINE,4500,34500,27000,,,,"(39.31566057, -120.555402)"
3,80,,Nevada,R,62.747,,PLACER/NEVADA COUNTY LINE,,,,4500,34500,27000,"(39.31566057, -120.555402)"
3,80,,Placer,R,63.517,,CISCO GROVE,4500,34500,27000,4350,34500,28000,"(39.30975825, -120.5441728)"
3,80,,Placer,R,66.201,,HAMPSHIRE ROCKS,4050,34500,27500,4000,34500,26000,"(39.3116985, -120.5017329)"
3,80,,Placer,,69.229,,KINGVALE,4000,34500,26000,4000,34500,26000,"(39.31416052, -120.445499)"
3,80,,Placer,,69.769,,PLACER/NEVADA COUNTY LINE,4000,34500,26000,,,,"(39.31617041, -120.4354732)"
3,84,,Yolo,,0,,SOLANO/YOLO COUNTY LINE,,,,90,480,330,"(38.31368954, -121.6306188)"
3,84,,Yolo,,4.57,,COURTLAND ROAD,60,590,430,140,1350,1100,"(38.342611, -121.584911)"
3,84,,Yolo,,9.53,,CLARKSBURG ROAD,150,1400,1350,180,1400,1250,"(38.4143805, -121.5828087)"
3,84,,Yolo,,11.77,,BABEL SLOUGH ROAD,170,1300,1150,140,1450,1300,"(38.44682394, -121.5828773)"
3,84,,Yolo,,15.687,,END OF ROUTE,140,1450,1300,,,,"(38.50445796, -121.582184)"
3,89,,El Dorado,,0,,ALP/ED CO LINE; LUTHER PASS (ELEV. 7740),,,,390,3600,2450,"(38.7876135, -119.94561)"
3,89,,Placer,,0,,EL DORADO/PLACER COUNTY LINE,,,,1450,11500,5200,"(39.06744442, -120.1284451)"
3,89,,Nevada,,0,,PLACER/NEVADA COUNTY LINE,,,,2350,25500,18900,"(39.31613294, -120.2042497)"
3,89,,Sierra,,0,,NEVADA/SIERRA COUNTY LINE,,,,290,3150,1850,"(39.4462588, -120.2143144)"
3,89,,Nevada,R,0.621,,JCT. RTE. 80 WEST ON/OFF RAMPS TO WB 80,2350,25500,18900,450,6700,4900,"(39.3387236, -120.1697962)"
3,89,,Placer,,0.85,,MC KINNEY CREEK ROAD,1450,11500,5200,990,11000,6600,"(39.07131492, -120.142554)"
3,89,,Nevada,,1.15,,PROSSER DAM ROAD,450,6700,4900,640,6000,4000,"(39.34520233, -120.1729969)"
3,89,,El Dorado,,4.58,,BRIDGE ROAD (ROUND LAKE),410,3150,2550,510,5600,4250,"(38.79402609, -120.0107836)"
3,89,,Nevada,,5.04,,HOBART MILLS ROAD,390,2650,1800,390,2650,1800,"(39.39900771, -120.1883211)"
3,89,,Placer,,5.812,,WARD CREEK BRIDGE,990,11000,6600,810,11300,7800,"(39.13257962, -120.1575959)"
3,89,,Placer,,6.46,,FIR AVENUE (FANNY BRIDGE),810,11300,7800,2000,22300,13200,"(39.14150432, -120.1548181)"
3,89,,El Dorado,,8.56,,JCT. RTE. 50,510,5600,4250,2650,26000,16900,"(38.851021, -120.022309)"
3,89,,Placer,T,8.569,,"TAHOE CITY, JCT. RTE. 28 EAST",1550,18400,11800,1450,16800,11500,"(39.1677455, -120.1451881)"
3,89,,Nevada,,8.702,,NEVADA/SIERRA COUNTY LINE,290,3150,1850,,,,"(39.4462588, -120.2143144)"
3,89,,Placer,,8.9,,TAHOE CITY STATE HIGHWAY MAINTENANCE STA,1450,16800,11500,1550,15000,10700,"(39.163822, -120.1503314)"
3,89,,El Dorado,,9.1,,"SOUTH LAKE TAHOE, 10TH STREET",2650,26000,16900,1850,20600,11200,"(38.91851378, -120.011996)"
3,89,,El Dorado,,9.71,,"SOUTH LAKE TAHOE, WEST WAY",1850,20600,11200,990,8900,4300,"(38.92171965, -120.0214739)"
3,89,,El Dorado,,11.686,,FALLEN LEAF LAKE ROAD,990,8900,4300,860,6400,3800,"(38.93357113, -120.049796)"
3,89,,El Dorado,,13.24,,SPRING TRACT ROAD,860,6400,3800,940,5800,4550,"(38.93356025, -120.0759489)"
3,89,,Placer,,13.72,,SQUAW VALLEY ROAD,1600,15000,10700,1450,12900,10300,"(39.204808, -120.1994439)"
3,89,,Sierra,,15.055,,"SIERRAVILLE, JCT. RTE. 49 NORTH",290,3150,1850,220,1750,990,"(39.589557, -120.367034)"
3,89,,El Dorado,,19.54,,BLISS MEMORIAL STATE PARK ROAD,940,5800,4550,670,8000,4200,"(38.97749887, -120.1027105)"
3,89,,Sierra,,19.958,,JCT. RTE. 49 WEST,220,1750,990,170,1350,770,"(39.624112, -120.435304)"
3,89,,Placer,,21.52,,WEST RIVER STREET,1450,12900,10300,2350,25500,18900,"(39.31391876, -120.2039954)"
3,89,,Placer,,21.677,,PLACER/NEVADA COUNTY LINE,2350,25500,18900,,,,"(39.31613294, -120.2042497)"
3,89,,El Dorado,,22.77,,RUBICON GLEN DRIVE,670,8000,4200,630,5900,3200,"(39.01588045, -120.1237129)"
3,89,,Sierra,,23.08,,CALPINE ROAD,170,1350,770,70,800,500,"(39.664641, -120.433269)"
3,89,,El Dorado,,27.406,,EL DORADO/PLACER COUNTY LINE,1450,11500,5200,,,,"(39.06744442, -120.1284451)"
3,89,,Sierra,,29.584,,SIERRA/PLUMAS COUNTY LINE,150,1200,720,,,,"(39.70640295, -120.5312246)"
3,99,,Sutter,,0,,SACRAMENTO/SUTTER COUNTY LINE,,,,3650,38000,35500,"(38.73632457, -121.5402784)"
3,99,,Butte,,0,,SUTTER/BUTTE COUNTY LINE,,,,1450,16600,15900,"(39.30512712, -121.6726374)"
3,99,,Sacramento,,0.123,,SAN JOAQUIN/SACRAMENTO COUNTY LINE,,,,5200,69000,65000,"(38.24581693, -121.2879847)"
3,99,,Sacramento,,0.33,,"GALT, FRONTAGE ROAD",5400,68000,65000,5500,70000,66000,"(38.24880732, -121.2898822)"
3,99,,Sacramento,,0.792,,"GALT, C STREET",5500,70000,66000,8100,86000,81000,"(38.25547717, -121.2941414)"
3,99,,Sutter,,0.95,,RIEGO ROAD,3650,38000,35500,2750,31500,30000,"(38.75040099, -121.5403848)"
3,99,,Sacramento,,1.566,,"GALT, SIMMERHORN ROAD",8100,86000,81000,8700,90000,84000,"(38.26448625, -121.299864)"
3,99,,Sacramento,,1.88,,"GALT, PRINGLE AVENUE ",8700,90000,84000,8900,95000,89000,"(38.26845599, -121.3015148)"
3,99,,Sacramento,,2.7,,WALNUT STREET,8900,95000,89000,8600,97000,91000,"(38.28015862, -121.3059123)"
3,99,,Butte,,2.79,,LIVE OAK GRIDLEY ROAD,1550,17900,16200,1800,19600,18600,"(39.34389293, -121.686879)"
3,99,,Sacramento,,3.525,,JCT. RTE. 104 EAST,8600,97000,91000,5300,135000,90000,"(38.291056, -121.312117)"
3,99,,Butte,R,3.746,,ARCHER AVENUE,1800,19600,18600,1800,20100,19100,"(39.357749, -121.687923)"
3,99,,Butte,,4.121,,"GRIDLEY, WILSON STREET",1800,20100,19100,2300,23900,22900,"(39.363209, -121.687895)"
3,99,,Butte,,4.38,,"GRIDLEY, SPRUCE STREET",2200,23900,22900,1450,16100,14900,"(39.36698, -121.687911)"
3,99,,Sacramento,,4.39,,MINGO ROAD,6400,80000,78000,6500,82000,77000,"(38.30266438, -121.3178343)"
3,99,,Sacramento,,6.008,,ARNO ROAD,6500,82000,77000,5700,74000,70000,"(38.325074, -121.327062)"
3,99,,Sacramento,,7.363,,DILLARD ROAD,5700,74000,70000,5600,75000,71000,"(38.343537, -121.335593)"
3,99,,Butte,,7.69,,BIGGS HIGHWAY,1300,15100,13700,1050,11800,10800,"(39.41501468, -121.6880948)"
3,99,,Sutter,R,8.07,,JCT. RTE. 70 NORTH,2750,31500,30000,1450,15100,14400,"(38.85307939, -121.5444372)"
3,99,,Sacramento,,8.96,,ESCHINGER ROAD,5600,75000,71000,5800,74000,71000,"(38.36433325, -121.349258)"
3,99,,Sacramento,,10.07,,GRANT LINE ROAD,5600,75000,72000,6100,77000,73000,"(38.376421, -121.36192)"
3,99,,Butte,,11.159,,JCT. RTE. 162 WEST,1050,11800,10900,1050,11800,11000,"(39.46518199, -121.6884248)"
3,99,,Sutter,,11.975,,GARDEN HIGHWAY,1450,15100,14400,1700,17300,16000,"(38.89871376, -121.5840928)"
3,99,,Sacramento,,12.761,,ELK GROVE BOULEVARD,6100,77000,73000,10000,143000,119000,"(38.40908134, -121.3885828)"
3,99,,Butte,,13.161,,JCT. RTE. 162 EAST,1050,11800,11000,930,10900,9800,"(39.494249, -121.688655)"
3,99,,Sutter,,13.678,,SACRAMENTO AVENUE,14900,14900,13800,1600,16200,15700,"(38.91640832, -121.6058095)"
3,99,,Sacramento,,13.838,,LAGUNA BOULEVARD/ BOND ROAD,10000,143000,119000,13000,174000,152000,"(38.42380742, -121.3953394)"
3,99,,Sacramento,,14.869,,SHELDON ROAD ,13000,174000,152000,11500,193000,164000,"(38.4378693, -121.4016621)"
3,99,,Sacramento,,15.9,,CALVINE ROAD,11500,193000,164000,12800,176000,171000,"(38.4519675, -121.408051)"
3,99,,Butte,,16.19,,NELSON SHIPPEE ROAD,930,10900,9800,970,10700,9900,"(39.537818, -121.688733)"
3,99,,Sacramento,,17.242,,"SACRAMENTO, STOCKTON BOULEVARD",11500,160000,153000,9700,137000,131000,"(38.46989242, -121.4180475)"
3,99,,Sacramento,,17.656,,"SACRAMENTO, MACK ROAD",9700,137000,131000,13000,178000,172000,"(38.474286, -121.422707)"
3,99,,Sacramento,,19.612,,FLORIN ROAD,13000,178000,172000,13600,194000,185000,"(38.496106, -121.445882)"
3,99,,Sutter,R,20.051,,JCT. RTE. 113,1300,14200,13600,1600,18100,17000,"(39.00363645, -121.6314202)"
3,99,,Sacramento,,20.859,,47TH AVENUE,14100,194000,186000,17800,209000,199000,"(38.51040955, -121.4597829)"
3,99,,Sacramento,,21.573,,MARTIN LUTHER KING JR. BOULEVARD,17800,209000,199000,16400,206000,194000,"(38.52010536, -121.4649501)"
3,99,,Sacramento,,21.944,,"SACRAMENTO, FRUITRIDGE ROAD",16400,206000,194000,20600,235000,227000,"(38.524927, -121.467512)"
3,99,,Sacramento,,23.128,,"SACRAMENTO, 12TH AVENUE",20600,235000,227000,17100,223000,219000,"(38.54119898, -121.4736935)"
3,99,,Butte,,23.863,,PENTZ ROAD,2600,28500,25500,2700,31000,27000,"(39.64225949, -121.7159921)"
3,99,,Sacramento,R,24.351,,JCT. RTES. 50/51,17100,223000,219000,,,,"(38.55882168, -121.4733879)"
3,99,,Sacramento,R,24.352,,BREAK IN ROUTE,,,,,,,"(38.55882168, -121.4733879)"
3,99,,Sutter,,25.62,,OSWALD ROAD,1600,18100,17000,1650,19900,18400,"(39.06899162, -121.6333592)"
3,99,,Butte,,26.04,,NEAL HIGHWAY,2700,31000,27000,2450,28500,25000,"(39.66578926, -121.74373)"
3,99,,Sutter,,26.12,,BARRY ROAD,1650,19900,18400,1800,21000,19800,"(39.07629678, -121.634817)"
3,99,,Sutter,,27.65,,BOGUE ROAD,1800,21300,20400,2150,26000,24200,"(39.098306, -121.634415)"
3,99,,Sutter,,28.67,,"YUBA CITY, LINCOLN ROAD",2150,26000,24200,2800,34500,33000,"(39.11274277, -121.6346102)"
3,99,,Sutter,,29.67,,FRANKLIN ROAD,2800,34500,33000,3050,35000,33500,"(39.12732469, -121.6344635)"
3,99,,Sutter,,30.03,,"YUBA CITY, BRIDGE STREET",3050,35000,33500,2700,33000,31500,"(39.13240468, -121.6344378)"
3,99,,Sutter,,30.39,,"YUBA CITY, ONSTOTT ROAD",2700,33000,31500,2700,33000,31500,"(39.13826616, -121.6345251)"
3,99,,Butte,R,30.603,,"CHICO, SKYWAY OC",3250,36500,34000,4550,54000,50000,"(39.71484632, -121.8005192)"
3,99,,Sutter,T,30.629,,"YUBA CITY, JCT. RTE. 20",2700,33000,31500,1900,22600,21400,"(39.14182706, -121.6344574)"
3,99,,Sutter,R,31.311,,"YUBA CITY, QUEENS AVENUE",1900,22600,21400,1500,20300,19600,"(39.15163578, -121.6353249)"
3,99,,Butte,R,31.498,,EAST 20TH STREET ,4550,54000,50000,6300,73000,71000,"(39.72610024, -121.8090952)"
3,99,,Sacramento,R,32.124,,JCT. RTES. 5,,,,5200,55000,51000,"(38.55882168, -121.4733879)"
3,99,,Butte,R,32.445,,"CHICO, JCT. RTE. 32 EAST",6300,73000,71000,7500,78000,76000,"(39.73685195, -121.819887)"
3,99,,Butte,R,33.282,,"CHICO, EAST FIRST AVENUE ",7500,78000,76000,5800,63000,60000,"(39.7452591, -121.8312625)"
3,99,,Sacramento,,33.364,,ELKHORN BOULEVARD,5200,55000,51000,4450,44000,42500,"(38.685505, -121.540012)"
3,99,,Sutter,R,33.95,,EAGER ROAD ,1500,20300,19600,1650,18400,17600,"(39.1898962, -121.6347223)"
3,99,,Butte,R,34.245,,"CHICO, COHASSET HIGHWAY",5800,63000,60000,3800,46500,43000,"(39.75427937, -121.8450565)"
3,99,,Butte,R,34.927,,EAST AVENUE,3800,46500,43000,2650,32000,28500,"(39.76005121, -121.8552544)"
3,99,,Sacramento,,35.37,,ELVERTA ROAD,4450,44000,42500,4000,38000,36000,"(38.714307, -121.540224)"
3,99,,Sutter,T,35.96,,ENCINAL ROAD/LIVE OAK BOULEVARD,1650,18400,17600,1600,18900,18300,"(39.218006, -121.641585)"
3,99,,Butte,R,36.305,,EATON AVENUE,2650,32000,28500,1900,20500,19300,"(39.77453873, -121.873234)"
3,99,,Sacramento,,36.863,,SACRAMENTO/SUTTER COUNTY LINE,4000,38000,36000,,,,"(38.73632457, -121.5402784)"
3,99,,Butte,,38.79,,WILSON LANDING ROAD,1900,20500,19300,1500,15900,15100,"(39.797028, -121.902859)"
3,99,,Butte,,40.22,,KEEFER ROAD,1500,15900,15100,1200,12500,11900,"(39.81355571, -121.9178879)"
3,99,,Sutter,,40.25,,"LIVE OAK, PENNINGTON ROAD",1600,18900,18300,1550,19500,18300,"(39.27608964, -121.6612501)"
3,99,,Sutter,,42.389,,SUTTER/BUTTE COUNTY LINE,1450,16600,15900,,,,"(39.30512712, -121.6726374)"
3,99,,Butte,,44.32,,BROYLES ROAD,1200,12500,11900,1150,13100,12000,"(39.86360504, -121.9601673)"
3,99,,Butte,,45.975,,BUTTE/TEHAMA COUNTY LINE,1200,12800,12000,,,,"(39.88357603, -121.9763796)"
3,104,,Sacramento,,0,,JCT. RTE. 99,,,,1150,11700,10500,"(38.29105408, -121.3123662)"
3,104,,Sacramento,,2.61,,CHEROKEE LANE,1150,11700,10500,370,5800,5200,"(38.291726, -121.264369)"
3,104,,Sacramento,,3.32,,BORDEN ROAD,370,5800,5200,310,5100,4500,"(38.29185809, -121.2519474)"
3,104,,Sacramento,,3.87,,IVIE ROAD,310,5100,4500,380,3800,3600,"(38.29626225, -121.2434018)"
3,104,,Sacramento,,5.11,,ANGLE ROAD,380,3800,3600,680,6400,5800,"(38.30679519, -121.2243978)"
3,104,,Sacramento,,9.215,,CLAY EAST ROAD,680,6400,5800,650,5900,5400,"(38.33598036, -121.1598435)"
3,104,,Sacramento,,12.183,,RANCHO SECO ROAD,290,2550,2400,180,1900,1700,"(38.35078735, -121.1143591)"
3,104,,Sacramento,,17.688,,SACRAMENTO/AMADOR COUNTY LINE,210,2550,2300,,,,"(38.3864541, -121.0272777)"
3,113,,Yolo,R,0,,SOLANO/ YOLO CO LINE (PUTAH CREEK BRIDGE),,,,4900,43500,40500,"(38.53090941, -121.7684984)"
3,113,,Sutter,,0,,YOLO/SUTTER COUNTY LINE,,,,730,8100,7200,"(38.80221227, -121.719871)"
3,113,,Yolo,R,0.42,,HUTCHINSON DRIVE,3700,43000,41000,3800,40500,39000,"(38.53679818, -121.768275)"
3,113,,Yolo,R,1.082,,"DAVIS, RUSSELL BOULEVARD",3800,40500,39000,3650,37500,32500,"(38.54639403, -121.7679181)"
3,113,,Yolo,R,2.082,,COUNTY ROAD 31 ,3650,37500,32500,2400,26000,22400,"(38.56088677, -121.7676726)"
3,113,,Sutter,,2.79,,KNIGHTS ROAD,730,8100,7200,730,7000,6750,"(38.84174154, -121.7184844)"
3,113,,Yolo,R,4.105,,COUNTY ROAD 29,2400,26000,22400,2550,26500,23900,"(38.59022527, -121.7669971)"
3,113,,Sutter,,4.86,,DEL MONTE AVENUE,730,7000,6750,540,5800,5000,"(38.86966902, -121.7080094)"
3,113,,Yolo,R,6.114,,COUNTY ROAD 27,2550,26500,23900,2200,24100,23000,"(38.6193, -121.766502)"
3,113,,Yolo,R,7.666,,COUNTY ROAD 25,2200,24100,23000,1900,22600,21100,"(38.64102294, -121.7596949)"
3,113,,Yolo,R,9.228,,GIBSON ROAD,1900,22600,21100,1850,19000,16900,"(38.6626766, -121.7513647)"
3,113,,Yolo,R,10.218,,"WOODLAND, MAIN STREET",1850,19000,16900,730,7700,6900,"(38.67695374, -121.7509302)"
3,113,,Yolo,R,10.72,,JCT. RTE. 5,730,7700,6900,690,7400,6900,"(38.68370732, -121.7507784)"
3,113,,Sutter,R,10.814,,SUTTER CAUSEWAY BRIDGE,540,5800,5000,500,5300,4550,"(38.9532514, -121.6767445)"
3,113,,Yolo,,12.33,,COUNTY ROAD P18C,690,7400,6900,380,4150,3600,"(38.70942604, -121.7652116)"
3,113,,Yolo,,14.089,,COUNTY ROAD P100,380,4150,3600,180,2300,1900,"(38.73454315, -121.7651033)"
3,113,,Sutter,,14.29,,GEORGE WASHINGTON BOULEVARD,470,5000,4300,400,3850,3450,"(39.00277404, -121.67151)"
3,113,,Sutter,,16.461,,JCT. RTE. 99,400,3850,3450,,,,"(39.00359542, -121.6315013)"
3,113,,Yolo,,18.66,,COUNTY ROAD P13,180,2300,1900,220,2750,2350,"(38.79287389, -121.7743617)"
3,113,,Yolo,M,21.2,,COUNTY ROAD 102,220,2750,2350,1000,13000,10400,"(38.79221566, -121.7274483)"
3,113,,Yolo,,21.9,,"KNIGHTS LANDING, JCT. RTE. 45 NORTH",1000,13000,10400,730,8100,7200,"(38.80047603, -121.7202084)"
3,113,,Yolo,,22.076,,YOLO/SUTTER COUNTY LINE,730,8100,7200,,,,"(38.80221227, -121.719871)"
3,128,,Yolo,,0,,SOLANO/YOLO COUNTY LINE,,,,360,3300,2400,"(38.51291078, -122.0956084)"
3,128,,Yolo,,4.59,,COUNTY ROAD 86,270,2200,1950,300,2400,2000,"(38.49468305, -122.0276944)"
3,128,,Yolo,,7.55,,COUNTY ROAD 87 E,300,2400,2000,360,3600,3000,"(38.51755653, -121.9913051)"
3,128,,Yolo,,8.42,,"WINTERS, FOURTH STREET",740,7400,6300,940,10200,9400,"(38.52289816, -121.9765159)"
3,128,,Yolo,,8.77,,"WINTERS, RAILROAD STREET",940,10200,9400,1200,12500,12400,"(38.524972, -121.9708418)"
3,128,,Yolo,,9.835,,JCT. RTE. 505,1200,12500,12400,,,,"(38.5314433, -121.9528178)"
3,149,,Butte,R,0,,JCT. RTE 70,,,,1700,16700,16000,"(39.57725413, -121.6181746)"
3,149,,Butte,R,3.107,,SHIPPEE LT/OPENSHAW RT,1700,16700,16000,,,,"(39.60146582, -121.6621741)"
3,153,,El Dorado,,0,,JCT. RTE. 49,,,,260,3850,2400,"(38.79684602, -120.889318)"
3,153,,El Dorado,,0.12,,COLD SPRINGS ROAD,260,3850,2400,20,170,110,"(38.795147, -120.889836)"
3,153,,El Dorado,,0.55,,MARSHALL'S MONUMENT,20,170,110,,,,"(38.796551, -120.894956)"
3,160,,Sacramento,L,0,,CONTRA COSTA/SACRAMENTO COUNTY LINE,,,,1150,13800,12300,"(38.02417356, -121.7515333)"
3,160,,Sacramento,R,0,,JCT. RTE. 12,1700,16800,15000,980,6300,5400,"(38.15517872, -121.6764254)"
3,160,,Sacramento,,5.95,,"SACRAMENTO RIVER, ISLETON BRIDGE",440,4550,3950,300,3300,2800,"(38.17224966, -121.5943974)"
3,160,,Sacramento,,11.46,,"RYDE, JCT. RTE. 220 WEST",240,2550,2150,300,3900,3150,"(38.238174, -121.558642)"
3,160,,Sacramento,,14.16,,"WALNUT GROVE, WALNUT GROVE BRIDGE",350,3600,3100,280,3150,2750,"(38.24253619, -121.5156486)"
3,160,,Sacramento,,16.92,,LEARY ROAD,170,1800,1450,170,1900,1500,"(38.27326, -121.539272)"
3,160,,Sacramento,,20.983,,PAINTERSVILLE BRIDGE,200,1600,1500,200,1600,1500,"(38.31857425, -121.5768853)"
3,160,,Sacramento,,21.1,,PAINTERSVILLE BRIDGE; RIVER ROAD,200,2000,1600,250,2500,2150,"(38.318541, -121.576506)"
3,160,,Sacramento,,26.25,,HOOD-FRANKLIN ROAD,290,2800,2550,120,1550,1350,"(38.36827084, -121.5193165)"
3,160,,Sacramento,,34.07,,FREEPORT BRIDGE ROAD,160,2150,1900,510,7300,6400,"(38.45595843, -121.5004888)"
3,160,,Sacramento,,35.045,,"SACRAMENTO, AMERICAN RIVER BRIDGE",510,7300,6400,,,,"(38.46979576, -121.5033511)"
3,160,,Sacramento,,35.046,,BREAK IN ROUTE,,,,,,,"(38.46979576, -121.5033511)"
8,62,,Riverside,,0,,JCT. RTE. 10,,,,1800,18600,17800,"(33.91432045, -116.603848)"
3,160,,Sacramento,R,44.456,,"SACRAMENTO, AMERICAN RIVER BRIDGE",,,,6800,55000,53000,"(38.46979576, -121.5033511)"
3,160,,Sacramento,R,44.63,,"SACRAMENTO, NORTHGATE BOULEVARD",6800,55000,53000,4550,45000,43500,"(38.59715645, -121.4745254)"
3,160,,Sacramento,R,44.977,,"SACRAMENTO, DEL PASO BOULEVARD",4550,45000,43500,3800,36000,35500,"(38.59962863, -121.4688973)"
3,160,,Sacramento,,45.604,,"SACRAMENTO, CANTERBURY ROAD ",3800,36000,35500,3700,35000,34500,"(38.60007892, -121.4579774)"
3,160,,Sacramento,,46.164,,"SACRAMENTO, ROYAL OAKS DR",3700,35000,34500,3550,34500,32000,"(38.60006511, -121.4488255)"
3,160,,Sacramento,,46.33,,"SACRAMENTO, TRIBUTE ROAD",3550,34500,32000,5000,38000,36000,"(38.600084, -121.446108)"
3,160,,Sacramento,,46.581,,"SACRAMENTO, JCT. RTE. 51",5000,38000,36000,4700,35000,34000,"(38.60006276, -121.4416407)"
3,160,,Sacramento,,47.05,,END OF ROUTE,4700,35000,34000,,,,"(38.60340361, -121.4344742)"
3,162,,Butte,,0,,GLENN/BUTTE COUNTY LINE,,,,150,1650,1500,"(39.46405993, -121.8700877)"
3,162,,Butte,,6.66,,RICHVALE SOUTH HIGHWAY,170,1650,1500,130,1300,1050,"(39.46475099, -121.745957)"
3,162,,Butte,R,9.726,,JCT. RTE. 99,130,1300,1050,250,2650,2500,"(39.465211, -121.688425)"
3,162,,Butte,,14.03,,"OROVILLE, LARKIN ROAD",250,2650,2500,880,9400,8600,"(39.49805041, -121.6089067)"
3,162,,Butte,,14.96,,"OROVILLE, 12TH STREET",880,9400,8600,1200,13900,13200,"(39.49805152, -121.5916443)"
3,162,,Butte,,15.831,,"OROVILLE, JCT. RTE. 70",1200,13900,13200,2850,31000,30000,"(39.49800186, -121.5753616)"
3,162,,Butte,,16.017,,FEATHER RIVER BOULEVARD,2850,31000,30000,2700,30500,28500,"(39.49804307, -121.5718816)"
3,162,,Butte,,17.142,,"OROVILLE, LINCOLN STREET",2700,30500,28500,3050,31000,30500,"(39.5038694, -121.5522458)"
3,162,,Butte,,17.553,,"ON OLIVE HIGHWAY, S OF OROVILLE DAM BLVD",3050,31000,30500,2950,29500,29000,"(39.506744, -121.545701)"
3,162,,Butte,,18.006,,"OROVILLE, LOWER WYANDOTE ROAD",2950,29500,29000,1850,21500,20900,"(39.50257008, -121.5389085)"
3,162,,Butte,,18.457,,FOOTHILL BOULEVARD,1850,21500,20900,1250,12700,12400,"(39.501438, -121.53145)"
